Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Hydrogen,H,1.0,1.00794,0.0899,14.01,20.28,Gas,14.01,20.28,1293000.0,32.97,0.558,0.452,,14300.0,7/5,,0.1805,,,0.01121,,,,,,,,1.000132,1270.0,1.0,2.2,72.8,808.65,255.15,2.1,1966.0,EU215-605-7,4.0,3.0,0.0,RTECSMW8900000,,s,1.0,1.0,1s1,Colorless,Diatomic,CAS1333-74-0,CID783,Gmelin3,,,,,,Diamagnetic,,-2.48e-08,-2.5e-11,-2.23e-09,75.0,75.0,2.4,0.15,11.0,10.0,5.3e-11,3.7e-11,1.2e-10,P63/mmc,194.0,inf,inf,,2S1/2,0.332,0.011,1.0,1.0
Helium,He,2.0,4.002602,0.1785,,4.21999999999997,Gas,,4.22,,5.19,0.02,0.083,,,5/3,,0.1513,,,0.022424,,,,,,,,1.000035,970.0,0.0,,0.0,,,2.2,1963.0,EU231-168-5,0.0,1.0,0.0,,,p,18.0,1.0,[Xe]4f56s2,Colorless,Monoatomic,CAS7440-59-7,CID23987,Gmelin16294,,,,,,Diamagnetic,,-5.9e-09,-2.36e-11,-1.05e-09,23.0,23.0,,5.5e-07,7.2e-10,,3.1e-11,3.2e-11,1.4e-10,"Fm_
3m",225.0,inf,inf,,1S0,0.007,1e-05,1.0,18.0
Lithium,Li,3.0,6.941,535.0,453.69,1615.15,Solid,453.69,1615.0,,3223.0,3.0,147.0,-298.0,1820.0,,,85.0,4.6e-05,512.0,1.297e-05,,600000.0,,11000000000.0,4200000000.0,4900000000.0,,,6000.0,1.0,0.98,59.6,452.15,,4.3,1415.0,EU231-102-5,2.0,3.0,2.0,RTECSDS1750000,,s,1.0,2.0,[He]2s2,Silver,,CAS7439-93-2,CID3028194,Gmelin30,,Conductor,11000000.0,9.4e-08,,Paramagnetic,,6.3e-09,4.37e-11,3.37e-06,6e-07,6e-09,0.00017,0.0017,1.8e-05,3e-06,1.67e-10,1.34e-10,1.82e-10,"Im_
3m",229.0,inf,inf,,2S1/2,0.045,,2.0,1.0
Beryllium,Be,4.0,9.012182,1848.0,1560.15,2743.15,Solid,1560.0,2743.0,,,7.95,297.0,,240.0,,,190.0,1.13e-05,1690.0,4.8767e-06,600000000.0,5500000.0,1670000000.0,130000000000.0,132000000000.0,287000000000.0,0.032,,13000.0,2.0,1.57,0.0,,,6.1,1567.0,EU231-150-7,1.0,3.0,0.0,RTECSLW3850000,,s,2.0,2.0,[Xe]4f75d16s2,SlateGray,,CAS7440-41-7,CID5460467,Gmelin16256,,Conductor,25000000.0,4e-08,0.026,Diamagnetic,,-1.26e-08,-1.136e-10,-2.328e-05,1e-07,1e-08,2.9e-06,0.00019,6e-11,4e-08,1.12e-10,9e-11,,P63/mmc,194.0,inf,inf,,1S0,0.0092,3e-05,2.0,2.0
Boron,B,5.0,10.811,2460.0,2348.15,4273.15,Solid,2348.0,4273.0,3390000.0,,50.0,507.0,,1040.0,,,27.0,6e-06,2080.0,4.3947e-06,,9300000.0,49000000000.0,320000000000.0,,,,,16200.0,3.0,2.04,26.7,,,,,EU231-151-2,3.0,2.0,0.0,RTECSQW9700000,,p,13.0,2.0,[He]2s22p3,Black,,CAS7440-42-8,CID5462311,Gmelin16262,,Insulator,0.0001,10000.0,,Diamagnetic,,-8.7e-09,-9.41e-11,-2.14e-05,1e-07,2e-07,0.00016,0.00086,0.00044,7e-05,8.7e-11,8.2e-11,,"R_
3m",166.0,inf,inf,,2P1/2,755.0,2.4,2.0,13.0
Carbon,C,6.0,12.0107,2260.0,3823.15,4300.15,Solid,3823.0,4300.0,,,105.0,715.0,-393.0,165.0,,,140.0,7.1e-06,,5.3145e-06,,500000.0,,33000000000.0,,,,2.417,18350.0,4.0,2.55,153.9,758.15,,4.2,1361.0,EU231-153-3,1.0,0.0,0.0,,,p,14.0,2.0,[Xe]4f116s2,Black,,CAS7440-44-0,CID5462310,Gmelin8868,,Conductor,100000.0,1e-05,,Diamagnetic,,-6.2e-09,-7.45e-11,-1.4e-05,0.5,0.3,1.5,0.18,0.0028,23.0,6.7e-11,7.7e-11,1.7e-10,P63/mmc,194.0,inf,inf,,3P0,0.0035,1.5e-05,2.0,14.0
Nitrogen,N,7.0,14.0067,1.251,63.05,77.36,Gas,63.05,77.36,2760000.0,126.21,0.36,2.79,,1030.0,7/5,,0.02583,,,0.011196,,,,,,,,1.000298,333.6,3.0,3.04,7.0,,,2.2,1977.0,EU231-783-9,0.0,3.0,0.0,RTECSQP4450000,,p,15.0,2.0,[He]2s22p6,Colorless,Diatomic,CAS7727-37-9,CID947,Gmelin150,,,,,,Diamagnetic,,-1e-08,-1.401e-10,-1.251e-08,0.1,0.1,0.14,0.002,5e-05,2.6,5.6e-11,7.5e-11,1.55e-10,P63/mmc,194.0,inf,inf,,4S3/2,1.91,0.0048,2.0,15.0
Oxygen,O,8.0,15.9994,1.429,54.85,90.25,Gas,54.8,90.2,,154.59,0.222,3.41,,154.0,7/5,,0.02658,,,0.011196,,,,,,,,1.000271,317.5,2.0,3.44,141.0,,,2.2,1073.0,EU231-956-9,0.0,3.0,2.0,RTECSZG1925000,,p,16.0,2.0,[Xe]4f146s2,Colorless,Diatomic,CAS7782-44-7,CID977,Gmelin485,,,,,,Paramagnetic,,1.335e-06,2.13592e-08,1.90772e-06,1.0,0.9,40.0,46.0,86.0,61.0,4.8e-11,7.3e-11,1.52e-10,C12/m1,12.0,inf,inf,,3P2,0.00028,1e-06,2.0,16.0
Fluorine,F,9.0,18.9984032,1.696,53.55,85.03,Gas,53.5,85.03,,144.13,0.26,3.27,,904.0,7/5,,0.0277,,,0.011202,,,,,,,,1.000195,,1.0,3.98,328.0,,,2.3,9192.0,EU231-954-8,0.0,4.0,4.0,RTECSBD0330000,,p,17.0,2.0,[Ne]3s23p1,Colorless,Diatomic,CAS7782-41-4,CID24524,Gmelin16281,,,,,,,,,,,4e-05,5e-05,0.0087,0.054,0.00013,0.0037,4.2e-11,7.1e-11,1.47e-10,C12/c1,15.0,inf,inf,,2P3/2,0.0096,2e-05,2.0,17.0
Neon,Ne,10.0,20.1797,0.9,24.56,27.07,Gas,24.56,27.07,,44.4,0.34,1.75,,140.0,5/3,,0.0491,,,0.02242,,,,,,,,1.000067,936.0,0.0,,0.0,,,2.2,1913.0,EU231-110-9,,,,RTECSWW5505000,,p,18.0,2.0,[Xe]4f145d36s2,Colorless,Monoatomic,CAS7440-01-9,CID23935,Gmelin16211,,,,,,Diamagnetic,,-4.1e-09,-8.27e-11,-3.69e-09,0.13,0.1,,3e-07,1.2e-08,,3.8e-11,6.9e-11,1.54e-10,"Fm_
3m",225.0,inf,inf,,1S0,0.04,0.0006,2.0,18.0
Sodium,Na,11.0,22.98977,968.0,370.87,1156.15,Solid,370.87,1156.0,20700000.0,2573.0,2.6,97.7,,705.0,,,140.0,7.1e-05,927.0,2.375e-05,690000.0,500000.0,,6300000000.0,3300000000.0,10000000000.0,,,3200.0,1.0,0.93,52.8,388.15,277.15,4.3,1428.0,EU231-132-9,3.0,3.0,2.0,,Natrium,s,1.0,3.0,[Ne]3s23p4,Silver,,CAS7440-23-5,CID923,Gmelin563,,Conductor,21000000.0,4.7e-08,,Paramagnetic,,6.4e-09,1.47e-10,6.2e-06,0.002,0.004,0.55,2.3,1.1,0.14,1.9e-10,1.54e-10,2.27e-10,"Im_
3m",229.0,inf,inf,,2S1/2,0.53,0.0007,3.0,1.0
Magnesium,Mg,12.0,24.305,1738.0,923.15,1363.15,Solid,923.0,1363.0,,,8.7,128.0,-668.0,130.0,,,160.0,8.2e-06,1584.0,1.3984e-05,260000000.0,2500000.0,,45000000000.0,17000000000.0,45000000000.0,0.29,,4602.0,2.0,1.31,0.0,745.15,773.15,4.1,2950.0,EU231-104-6,1.0,0.0,1.0,RTECSRN1100000,,s,2.0,3.0,[Xe]4f145d66s2,Silver,,CAS7439-95-4,CID888,Gmelin16207,NSC529832,Conductor,23000000.0,4.4e-08,,Paramagnetic,,6.9e-09,1.68e-10,1.2e-05,0.06,0.07,12.0,2.9,0.13,0.027,1.45e-10,1.3e-10,1.73e-10,P63/mmc,194.0,inf,inf,,1S0,0.063,0.0001,3.0,2.0
Aluminum,Al,13.0,26.981538,2700.0,933.47,2792.15,Solid,933.47,2792.0,16000000.0,,10.7,293.0,,757.0,,,235.0,2.31e-05,2375.0,9.99e-06,245000000.0,2750000.0,167000000.0,76000000000.0,26000000000.0,70000000000.0,0.35,,5100.0,3.0,1.61,42.5,673.15,918.15,4.3,1396.0,EU231-072-3,1.0,0.0,1.0,RTECSTS6460000,Aluminium,p,13.0,3.0,[Ar]4s1,Silver,,CAS7429-90-5,CID5359268,Gmelin16248,,Conductor,38000000.0,2.6e-08,1.175,Paramagnetic,,7.8e-09,2.1e-10,2.11e-05,0.005,0.006,0.91,8.1,5e-07,9e-05,1.18e-10,1.18e-10,,"Fm_
3m",225.0,inf,inf,,2P1/2,0.233,0.03,3.0,13.0
