Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Categoria,Função_Biológica
Hydrogen,H,1.0,1.00794,0.0899,-259.14,Macronutriente,Presente na água e nas biomoléculas
Helium,He,2.0,4.002602,0.1785,,,
Lithium,Li,3.0,6.941,535.0,180.54,,
Beryllium,Be,4.0,9.012182,1848.0,1287.0,,
Boron,B,5.0,10.811,2460.0,2075.0,,
Carbon,C,6.0,12.0107,2260.0,3550.0,Macronutriente,Base estrutural das moléculas orgânicas
Nitrogen,N,7.0,14.0067,1.251,-210.1,Macronutriente,Componente de proteínas e ácidos nucleicos
Oxygen,O,8.0,15.9994,1.429,-218.3,Macronutriente,Essencial para respiração e oxidação
Fluorine,F,9.0,18.9984032,1.696,-219.6,,
Neon,Ne,10.0,20.1797,0.9,-248.59,,
Sodium,Na,11.0,22.98977,968.0,97.72,Macronutriente,Equilíbrio osmótico e potencial de ação
Magnesium,Mg,12.0,24.305,1738.0,650.0,Macronutriente,Cofator enzimático e estabilização de ATP
Aluminum,Al,13.0,26.981538,2700.0,660.32,,
Silicon,Si,14.0,28.0855,2330.0,1414.0,,
Phosphorus,P,15.0,30.973761,1823.0,44.2,Macronutriente,Presente em ATP e ácidos nucleicos
Sulfur,S,16.0,32.065,1960.0,115.21,Macronutriente,Componente de aminoácidos e proteínas
Chlorine,Cl,17.0,35.453,3.214,-101.5,Macronutriente,Equilíbrio osmótico e digestão
Argon,Ar,18.0,39.948,1.784,-189.3,,
Potassium,K,19.0,39.0983,856.0,63.38,Macronutriente,Regulação celular e enzimática
Calcium,Ca,20.0,40.078,1550.0,842.0,Macronutriente,Estrutura óssea e sinalização celular
Scandium,Sc,21.0,44.95591,2985.0,1541.0,,
Titanium,Ti,22.0,47.867,4507.0,1668.0,,
Vanadium,V,23.0,50.9415,6110.0,1910.0,,
Chromium,Cr,24.0,51.9961,7140.0,1907.0,,
Manganese,Mn,25.0,54.938049,7470.0,1246.0,Micronutriente,Fotossíntese e metabolismo energético
Iron,Fe,26.0,55.845,7874.0,1538.0,Micronutriente,Transporte de oxigênio e reações redox
Cobalt,Co,27.0,58.9332,8900.0,1495.0,,
Nickel,Ni,28.0,58.6934,8908.0,1455.0,,
Copper,Cu,29.0,63.546,8920.0,1084.62,Micronutriente,Transporte de elétrons e enzimas oxidases
Zinc,Zn,30.0,65.409,7140.0,419.53,Micronutriente,Ativação enzimática
Gallium,Ga,31.0,69.723,5904.0,29.76,,
Germanium,Ge,32.0,72.64,5323.0,938.3,,
Arsenic,As,33.0,74.9216,5727.0,817.0,,
Selenium,Se,34.0,78.96,4819.0,221.0,Micronutriente,Antioxidante e defesa celular
Bromine,Br,35.0,79.904,3120.0,-7.3,,
Krypton,Kr,36.0,83.798,3.75,-157.36,,
Rubidium,Rb,37.0,85.4678,1532.0,39.31,,
Strontium,Sr,38.0,87.62,2630.0,777.0,,
Yttrium,Y,39.0,88.90585,4472.0,1526.0,,
Zirconium,Zr,40.0,91.224,6511.0,1855.0,,
Niobium,Nb,41.0,92.90638,8570.0,2477.0,,
Molybdenum,Mo,42.0,95.94,10280.0,2623.0,Micronutriente,Cofator enzimático na fixação de N
Technetium,Tc,43.0,98.0,11500.0,2157.0,,
Ruthenium,Ru,44.0,101.07,12370.0,2334.0,,
Rhodium,Rh,45.0,102.9055,12450.0,1964.0,,
Palladium,Pd,46.0,106.42,12023.0,1554.9,,
Silver,Ag,47.0,107.8682,10490.0,961.78,,
Cadmium,Cd,48.0,112.411,8650.0,321.07,,
Indium,In,49.0,114.818,7310.0,156.6,,
Tin,Sn,50.0,118.71,7310.0,231.93,,
Antimony,Sb,51.0,121.76,6697.0,630.63,,
Tellurium,Te,52.0,127.6,6240.0,449.51,,
Iodine,I,53.0,126.90447,4940.0,113.7,Micronutriente,Síntese de hormônios tireoidianos
Xenon,Xe,54.0,131.293,5.9,-111.8,,
Cesium,Cs,55.0,132.90545,1879.0,28.44,,
Barium,Ba,56.0,137.327,3510.0,727.0,,
Lanthanum,La,57.0,138.9055,6146.0,920.0,,
Cerium,Ce,58.0,140.116,6689.0,798.0,,
Praseodymium,Pr,59.0,140.90765,6640.0,931.0,,
Neodymium,Nd,60.0,144.24,7010.0,1021.0,,
Promethium,Pm,61.0,145.0,7264.0,1100.0,,
Samarium,Sm,62.0,150.36,7353.0,1072.0,,
Europium,Eu,63.0,151.964,5244.0,822.0,,
Gadolinium,Gd,64.0,157.25,7901.0,1313.0,,
Terbium,Tb,65.0,158.92534,8219.0,1356.0,,
Dysprosium,Dy,66.0,162.5,8551.0,1412.0,,
Holmium,Ho,67.0,164.93032,8795.0,1474.0,,
Erbium,Er,68.0,167.259,9066.0,1497.0,,
Thulium,Tm,69.0,168.93421,9321.0,1545.0,,
Ytterbium,Yb,70.0,173.04,6570.0,819.0,,
Lutetium,Lu,71.0,174.967,9841.0,1663.0,,
Hafnium,Hf,72.0,178.49,13310.0,2233.0,,
Tantalum,Ta,73.0,180.9479,16650.0,3017.0,,
Tungsten,W,74.0,183.84,19250.0,3422.0,,
Rhenium,Re,75.0,186.207,21020.0,3186.0,,
Osmium,Os,76.0,190.23,22610.0,3033.0,,
Iridium,Ir,77.0,192.217,22650.0,2466.0,,
Platinum,Pt,78.0,195.078,21090.0,1768.3,,
Gold,Au,79.0,196.96655,19300.0,1064.18,,
Mercury,Hg,80.0,200.59,13534.0,-38.83,,
Thallium,Tl,81.0,204.3833,11850.0,304.0,,
Lead,Pb,82.0,207.2,11340.0,327.46,,
Bismuth,Bi,83.0,208.98038,9780.0,271.3,,
Polonium,Po,84.0,209.0,9196.0,254.0,,
Astatine,At,85.0,210.0,,302.0,,
Radon,Rn,86.0,222.0,9.73,-71.0,,
Francium,Fr,87.0,223.0,,,,
Radium,Ra,88.0,226.0,5000.0,700.0,,
Actinium,Ac,89.0,227.0,10070.0,1050.0,,
Thorium,Th,90.0,232.0381,11724.0,1750.0,,
Protactinium,Pa,91.0,231.03588,15370.0,1572.0,,
Uranium,U,92.0,238.02891,19050.0,1135.0,,
Neptunium,Np,93.0,237.0,20450.0,644.0,,
Plutonium,Pu,94.0,244.0,19816.0,640.0,,
Americium,Am,95.0,243.0,,1176.0,,
Curium,Cm,96.0,247.0,13510.0,1345.0,,
Berkelium,Bk,97.0,247.0,14780.0,1050.0,,
Californium,Cf,98.0,251.0,15100.0,900.0,,
Einsteinium,Es,99.0,252.0,,860.0,,
Fermium,Fm,100.0,257.0,,1527.0,,
Mendelevium,Md,101.0,258.0,,827.0,,
Nobelium,No,102.0,259.0,,827.0,,
Lawrencium,Lr,103.0,262.0,,1627.0,,
Rutherfordium,Rf,104.0,261.0,,,,
Dubnium,Db,105.0,262.0,,,,
Seaborgium,Sg,106.0,266.0,,,,
Bohrium,Bh,107.0,264.0,,,,
Hassium,Hs,108.0,277.0,,,,
Meitnerium,Mt,109.0,268.0,,,,
Darmstadtium,Ds,110.0,281.0,,,,
Roentgenium,Rg,111.0,272.0,,,,
Ununbium,Uub,112.0,285.0,,,,
Ununtrium,Uut,113.0,284.0,,,,
Ununquadium,Uuq,114.0,289.0,,,,
Ununpentium,Uup,115.0,288.0,,,,
Ununhexium,Uuh,116.0,292.0,,,,
Ununseptium,Uus,117.0,,,,,
Ununoctium,Uuo,118.0,294.0,,,,
